dedupe_key,symbol,strategy_family,strategy_label,parameter_hash,run_count_before_dedupe,kept_run_id,dropped_run_ids,has_conflict_duplicates
ORCL::moving_average_crossover::ma-3-15::69374c13bf7522591efb43b570e65bdd31da3add,ORCL,moving_average_crossover,ma-3-15,69374c13bf7522591efb43b570e65bdd31da3add,2,ORCL-ma-3-15-20260412T075442-ma-3-15,['ORCL-ma-3-15-20260412T074859-ma-3-15'],False
ORCL::moving_average_crossover::ma-8-21::68876fc46f1bc740ab36d47876747c7ba2407011,ORCL,moving_average_crossover,ma-8-21,68876fc46f1bc740ab36d47876747c7ba2407011,2,ORCL-ma-8-21-20260412T075442-ma-8-21,['ORCL-ma-8-21-20260412T074900-ma-8-21'],False
ORCL::moving_average_crossover::ma-baseline::33bc22daf5108f93b692b8c7f7d6c24e9b9ee9e6,ORCL,moving_average_crossover,ma-baseline,33bc22daf5108f93b692b8c7f7d6c24e9b9ee9e6,2,ORCL-ma-baseline-20260412T075442-ma-baseline,['ORCL-ma-baseline-20260412T074859-ma-baseline'],False
ORCL::rsi_threshold::rsi-14-35-65::85f9b6d3e41d73d152f44383b094863ca64d0c83,ORCL,rsi_threshold,rsi-14-35-65,85f9b6d3e41d73d152f44383b094863ca64d0c83,2,ORCL-rsi-14-35-65-20260412T075444-rsi-14-35-65,['ORCL-rsi-14-35-65-20260412T074901-rsi-14-35-65'],False
ORCL::rsi_threshold::rsi-21-30-70::4dbe4870cef1a5db9953fc5af2742bde5104a63c,ORCL,rsi_threshold,rsi-21-30-70,4dbe4870cef1a5db9953fc5af2742bde5104a63c,2,ORCL-rsi-21-30-70-20260412T075444-rsi-21-30-70,['ORCL-rsi-21-30-70-20260412T074901-rsi-21-30-70'],False
ORCL::rsi_threshold::rsi-6-25-75::314f044a3bf4b4a0fc0db67d15c755c2afdbef55,ORCL,rsi_threshold,rsi-6-25-75,314f044a3bf4b4a0fc0db67d15c755c2afdbef55,2,ORCL-rsi-6-25-75-20260412T075444-rsi-6-25-75,['ORCL-rsi-6-25-75-20260412T074901-rsi-6-25-75'],False
ORCL::rsi_threshold::rsi-baseline::f7c06f158ab2eb36975772ca7503b4e1d278befd,ORCL,rsi_threshold,rsi-baseline,f7c06f158ab2eb36975772ca7503b4e1d278befd,2,ORCL-rsi-baseline-20260412T075443-rsi-baseline,['ORCL-rsi-baseline-20260412T074900-rsi-baseline'],False
PLTR::macd_crossover::macd-10-30-9::ecb8de5567887d0d5655ffc7418ad0e8a9b715ae,PLTR,macd_crossover,macd-10-30-9,ecb8de5567887d0d5655ffc7418ad0e8a9b715ae,2,PLTR-macd-10-30-9-20260412T075446-macd-10-30-9,['PLTR-macd-10-30-9-20260412T074903-macd-10-30-9'],False
PLTR::macd_crossover::macd-5-35-5::5cf7374800361e5fe1dd036e0afe65c9da0c4690,PLTR,macd_crossover,macd-5-35-5,5cf7374800361e5fe1dd036e0afe65c9da0c4690,2,PLTR-macd-5-35-5-20260412T075446-macd-5-35-5,['PLTR-macd-5-35-5-20260412T074904-macd-5-35-5'],False
PLTR::macd_crossover::macd-8-21-5::533530cf71e232d34ce704c3153f276e2cb4f8ec,PLTR,macd_crossover,macd-8-21-5,533530cf71e232d34ce704c3153f276e2cb4f8ec,2,PLTR-macd-8-21-5-20260412T075446-macd-8-21-5,['PLTR-macd-8-21-5-20260412T074903-macd-8-21-5'],False
