date,close,action,position,cash
2016-11-21,39.88999938964844,buy,4,99814.20999908447
2016-11-22,40.09000015258789,buy,5,99774.11999893188
2016-11-23,40.099998474121094,buy,6,99734.02000045776
2016-11-25,40.27000045776367,buy,7,99693.75
2016-11-28,40.29999923706055,buy,8,99653.45000076294
2016-11-29,40.54999923706055,buy,9,99612.90000152588
2016-11-30,40.189998626708984,sell,0,99974.60998916626
2016-12-01,38.70000076293945,hold,0,99974.60998916626
2016-12-02,38.5,hold,0,99974.60998916626
2016-12-05,38.970001220703125,hold,0,99974.60998916626
2016-12-06,39.470001220703125,buy,1,99935.13998794556
2016-12-07,40.31999969482422,buy,2,99894.81998825073
2016-12-08,40.349998474121094,buy,3,99854.46998977661
2016-12-09,40.52000045776367,buy,4,99813.94998931885
2016-12-12,40.5099983215332,buy,5,99773.43999099731
2016-12-13,40.7599983215332,buy,6,99732.67999267578
2016-12-14,40.880001068115234,buy,7,99691.79999160767
2016-12-15,40.86000061035156,buy,8,99650.93999099731
2016-12-16,39.099998474121094,sell,0,99963.73997879028
2016-12-19,38.900001525878906,hold,0,99963.73997879028
2016-12-20,39.0,hold,0,99963.73997879028
2016-12-21,38.83000183105469,hold,0,99963.73997879028
2016-12-22,38.959999084472656,buy,1,99924.77997970581
2016-12-23,38.779998779296875,sell,0,99963.55997848511
2016-12-27,38.81999969482422,hold,0,99963.55997848511
2016-12-28,38.68000030517578,hold,0,99963.55997848511
2016-12-29,38.689998626708984,hold,0,99963.55997848511
2016-12-30,38.45000076293945,hold,0,99963.55997848511
2017-01-03,38.54999923706055,hold,0,99963.55997848511
2017-01-04,38.7400016784668,buy,1,99924.81997680664
2017-01-05,38.63999938964844,buy,2,99886.17997741699
2017-01-06,38.45000076293945,sell,0,99963.07997894287
2017-01-09,39.029998779296875,buy,1,99924.04998016357
2017-01-10,38.65999984741211,sell,0,99962.70998001099
2017-01-11,39.11000061035156,buy,1,99923.59997940063
2017-01-12,39.20000076293945,buy,2,99884.3999786377
2017-01-13,39.2599983215332,buy,3,99845.13998031616
2017-01-17,39.099998474121094,buy,4,99806.03998184204
2017-01-18,39.189998626708984,buy,5,99766.84998321533
2017-01-19,39.209999084472656,buy,6,99727.63998413086
2017-01-20,39.869998931884766,buy,7,99687.76998519897
2017-01-23,39.68000030517578,buy,8,99648.0899848938
2017-01-24,40.099998474121094,buy,9,99607.98998641968
2017-01-25,40.150001525878906,buy,10,99567.8399848938
2017-01-26,40.130001068115234,buy,11,99527.70998382568
2017-01-27,40.22999954223633,buy,12,99487.47998428345
2017-01-30,40.22999954223633,buy,13,99447.24998474121
2017-01-31,40.11000061035156,sell,0,99968.67999267578
2017-02-01,39.84000015258789,hold,0,99968.67999267578
2017-02-02,39.97999954223633,hold,0,99968.67999267578
2017-02-03,40.43000030517578,buy,1,99928.2499923706
2017-02-06,40.099998474121094,buy,2,99888.14999389648
2017-02-07,40.06999969482422,sell,0,99968.28999328613
2017-02-08,40.02000045776367,hold,0,99968.28999328613
2017-02-09,40.22999954223633,buy,1,99928.0599937439
2017-02-10,40.790000915527344,buy,2,99887.26999282837
2017-02-13,41.09000015258789,buy,3,99846.17999267578
2017-02-14,41.099998474121094,buy,4,99805.07999420166
2017-02-15,41.40999984741211,buy,5,99763.66999435425
2017-02-16,41.59000015258789,buy,6,99722.07999420166
2017-02-17,42.060001373291016,buy,7,99680.01999282837
2017-02-21,42.27000045776367,buy,8,99637.7499923706
2017-02-22,42.5099983215332,buy,9,99595.23999404907
2017-02-23,42.959999084472656,buy,10,99552.2799949646
2017-02-24,43.16999816894531,buy,11,99509.10999679565
2017-02-27,42.70000076293945,sell,0,99978.81000518799
2017-02-28,42.59000015258789,hold,0,99978.81000518799
2017-03-01,42.91999816894531,buy,1,99935.89000701904
2017-03-02,42.88999938964844,buy,2,99893.0000076294
2017-03-03,42.689998626708984,sell,0,99978.38000488281
2017-03-06,42.56999969482422,hold,0,99978.38000488281
2017-03-07,42.599998474121094,hold,0,99978.38000488281
2017-03-08,42.61000061035156,hold,0,99978.38000488281
2017-03-09,42.439998626708984,hold,0,99978.38000488281
2017-03-10,42.68000030517578,buy,1,99935.70000457764
2017-03-13,42.58000183105469,sell,0,99978.28000640869
2017-03-14,42.790000915527344,buy,1,99935.49000549316
2017-03-15,43.04999923706055,buy,2,99892.4400062561
2017-03-16,45.72999954223633,buy,3,99846.71000671387
2017-03-17,45.65999984741211,buy,4,99801.05000686646
2017-03-20,45.22999954223633,buy,5,99755.82000732422
2017-03-21,44.84000015258789,sell,0,99980.02000808716
2017-03-22,44.790000915527344,hold,0,99980.02000808716
2017-03-23,44.95000076293945,hold,0,99980.02000808716
2017-03-24,44.650001525878906,hold,0,99980.02000808716
2017-03-27,44.84000015258789,buy,1,99935.18000793457
2017-03-28,44.689998626708984,sell,0,99979.87000656128
2017-03-29,44.52000045776367,hold,0,99979.87000656128
2017-03-30,44.68000030517578,buy,1,99935.1900062561
2017-03-31,44.61000061035156,sell,0,99979.80000686646
2017-04-03,44.61000061035156,hold,0,99979.80000686646
